id,ffpDate,gender,age,flyTimes,lastToEnd,averageDiscount,distance,elitePoint,days
22761,2011/04/14,男,48,2,282,0.28,760,0,1082
16372,2012/12/20,男,47,2,464,0.25,904,0,466
10380,2010/07/08,男,33,2,39,0.225,1062,0,1362
30765,2008/11/16,男,38,2,121,0.67,368,0,1961
11163,2005/05/08,男,34,2,89,0.71,368,0,3249
7445,2013/03/29,男,73,2,357,0.35,760,0,367
197,2011/01/14,男,36,2,180,0.14,1914,0,1172
45524,2013/02/12,女,29,2,360,0.25,1096,0,412
38088,2005/03/11,女,47,2,538,0.25,1096,0,3307
25238,2012/10/23,女,39,2,519,0.25,1096,0,524
1405,2010/07/07,男,44,2,464,0.25,1096,0,1363
359,2012/04/12,男,34,2,671,0.25,1096,0,718
60676,2012/07/12,男,37,2,412,0.75,368,0,627
57428,2008/12/05,女,34,2,418,0.75,368,0,1942
34341,2013/01/31,男,40,2,416,0.75,368,0,424
10999,2004/12/16,女,60,2,252,0.75,368,0,3392
5515,2011/07/17,男,31,2,492,0.75,368,0,988
3305,2009/12/12,男,46,2,471,0.75,368,0,1570
11699,2008/02/13,女,73,2,57,0.19,1456,0,2238
47026,2013/03/03,男,25,2,131,0.29,958,0,393
52412,2013/02/22,男,24,2,50,0.76,368,0,402
37765,2012/06/26,女,54,2,198,0.77,368,0,643
2213,2005/05/18,女,45,2,73,0.32,904,0,3239
56977,2007/12/09,男,44,2,624,0.8,368,0,2304
48477,2008/08/08,男,47,2,306,0.25,1208,0,2061
10798,2012/10/18,男,70,2,498,0.4,760,0,529
9448,2013/02/05,男,33,2,9,0.30712,1000,0,419
31906,2011/03/09,男,51,2,199,0.835,368,0,1118
355,2012/03/29,男,34,2,158,0.34,904,0,732
43506,2013/03/11,男,46,2,384,0.85,368,0,385
18851,2006/06/09,男,62,2,450,0.85,368,0,2852
14213,2011/03/06,女,56,2,472,0.85,368,0,1121
14043,2011/02/09,男,48,2,421,0.85,368,0,1146
2096,2005/03/14,男,59,2,53,0.34,928,0,3304
54472,2012/09/19,女,47,2,23,0.28,1134,0,558
1877,2012/09/30,男,31,2,52,0.275,1158,0,547
12970,2009/01/03,男,52,2,424,0.25,1298,0,1913
54253,2011/01/13,女,31,2,18,0.245891932,1351,0,1173
7579,2010/05/25,男,44,2,473,0.4,834,0,1406
50080,2011/07/21,女,42,2,275,0.92,368,0,984
59283,2012/05/11,男,32,2,633,0.25,1357,0,689
54467,2012/09/11,男,27,2,106,0.3,1134,0,566
54526,2012/12/18,男,45,3,103,0.3,1140,0,468
61922,2011/02/03,女,30,2,304,0.265,1298,0,1152
52441,2013/01/14,男,58,2,117,0.945,368,0,441
59567,2011/12/01,女,33,2,156,0.3,1160,0,851
37854,2012/11/19,女,42,2,286,0.328611111,1080,0,497
46449,2010/02/07,男,24,2,32,0.275,1312,0,1513
6115,2013/01/05,女,52,2,321,0.75,486,0,450
33032,2011/11/29,男,30,2,655,1,368,0,853
21412,2008/06/09,男,55,2,466,1,368,0,2121
